sku_a,sku_b,substitute_group_id,note
806757,PZKP-BV10-HNBR,GRP-136,Remplaçant direct — même gamme
EBQE34,PZKP-BV10-HNBR,GRP-136,Remplaçant direct — même gamme
E9S240,XUP,GRP-137,Option premium équivalente
E9S240,FS.5ZP,GRP-137,Option premium équivalente
XUP,FS.5ZP,GRP-137,Option premium équivalente
58663,53106,GRP-138,Remplaçant direct — même gamme
"LDK410000070,LDK410000-070",SRSE-2-C,GRP-139,Modèle équivalent — délai livraison différent
068U2029,E10S250,GRP-140,Remplaçant direct — même gamme
068U2029,EBSSE-10-C,GRP-140,Remplaçant direct — même gamme
E10S250,EBSSE-10-C,GRP-140,Remplaçant direct — même gamme
MKC1DUAL,EGJE.5C,GRP-141,Remplaçant direct — même gamme
MKC1DUAL,57343,GRP-141,Remplaçant direct — même gamme
MKC1DUAL,ERDE-2-C,GRP-141,Remplaçant direct — même gamme
EGJE.5C,57343,GRP-141,Remplaçant direct — même gamme
EGJE.5C,ERDE-2-C,GRP-141,Remplaçant direct — même gamme
57343,ERDE-2-C,GRP-141,Remplaçant direct — même gamme
068U4319,EBVP-1110,GRP-142,Modèle équivalent — délai livraison différent
068U4319,SRJE-1-C,GRP-142,Modèle équivalent — délai livraison différent
EBVP-1110,SRJE-1-C,GRP-142,Modèle équivalent — délai livraison différent
DDRD-12,169378,GRP-143,Option premium équivalente
DDRD-12,ERDE-1/3-C,GRP-143,Option premium équivalente
DDRD-12,PZKP-BV14-HNBR,GRP-143,Option premium équivalente
169378,ERDE-1/3-C,GRP-143,Option premium équivalente
169378,PZKP-BV14-HNBR,GRP-143,Option premium équivalente
ERDE-1/3-C,PZKP-BV14-HNBR,GRP-143,Option premium équivalente
067L5858,067L5957,GRP-144,Interchangeable selon disponibilité stock
067L5858,KT47ZGA-181518,GRP-144,Interchangeable selon disponibilité stock
067L5858,15422000017979,GRP-144,Interchangeable selon disponibilité stock
067L5957,KT47ZGA-181518,GRP-144,Interchangeable selon disponibilité stock
067L5957,15422000017979,GRP-144,Interchangeable selon disponibilité stock
KT47ZGA-181518,15422000017979,GRP-144,Interchangeable selon disponibilité stock
02-C31004-B,130323/SDE-7-Z,GRP-145,Modèle équivalent — délai livraison différent
02-C31004-B,E25S290,GRP-145,Modèle équivalent — délai livraison différent
130323/SDE-7-Z,E25S290,GRP-145,Modèle équivalent — délai livraison différent
19V97,OMKC1120,GRP-146,Remplaçant direct — même gamme
QREV1424SC,067L5859,GRP-147,Option premium équivalente
QREV1424SC,161027,GRP-147,Option premium équivalente
QREV1424SC,15500301000035,GRP-147,Option premium équivalente
067L5859,161027,GRP-147,Option premium équivalente
067L5859,15500301000035,GRP-147,Option premium équivalente
161027,15500301000035,GRP-147,Option premium équivalente
KT47VC-181511,ERDE-1-Z,GRP-148,Option premium équivalente
KT47VC-181511,032F8106,GRP-148,Option premium équivalente
ERDE-1-Z,032F8106,GRP-148,Option premium équivalente
FSE.25ZP,SSE3C,GRP-149,Remplaçant direct — même gamme
FSE.25ZP,FJE.5C,GRP-149,Remplaçant direct — même gamme
FSE.25ZP,E5S130-HP,GRP-149,Remplaçant direct — même gamme
SSE3C,FJE.5C,GRP-149,Remplaçant direct — même gamme
SSE3C,E5S130-HP,GRP-149,Remplaçant direct — même gamme
FJE.5C,E5S130-HP,GRP-149,Remplaçant direct — même gamme
068U4598,018F4100,GRP-150,Option premium équivalente
